UNIT|LEVEL|WORDS|TRANSCRIPTION|DEFINITION|EXAMPLE|RUSSIAN|UZBEK
UNIT 1|C1|adolescence|/æd.əˈles.əns/|the period of time in a person's life when they are developing into an adult|She had a troubled adolescence.|юность|o'smirlik
UNIT 1|C1|adulthood|/ˈæd.ʌlt.hʊd/|the part of someone's life when they are an adult|People in England legally reach adulthood at 18.|взрослая жизнь|katta bo'lish davri
UNIT 1|B2|bond|/bɒnd/|a close connection joining two or more people|There has been a close bond between them ever since she saved him from drowning.|узы, связь|aloqa, munosabat
UNIT 1|C1|brotherhood|/ˈbrʌð.ə.hʊd/|the members of a particular organization|The various groups eventually fused into a single brotherhood.|братство|birdamlik, birodarlik
UNIT 1|B1|character|/ˈkær.ək.tər/|the particular combination of qualities in a person or place that makes them different from others|Politeness is traditionally part of the British character.|характер|xarakter
UNIT 1|B1|childhood|/ˈtʃaɪld.hʊd/|the time when someone is a child|She had an unhappy childhood.|детство|bolalik davri
UNIT 1|B2|conflict|/ˈkɒn.flɪkt/|an active disagreement between people with opposing opinions or principles|There was a lot of conflict between him and his father.|конфликт|nizolashish
UNIT 1|B2|connection|/kəˈnek.ʃən/|relationship, the state of being related to someone or something else|The connection between smoking and heart disease is well known.|связь|bog'liqlik
UNIT 1|A1|fatherhood|/ˈfɑː.ðə.hʊd/|a state of having one or more children|Fatherhood is a lifelong responsibility.|отцовство|otalik davri
UNIT 1|C2|instinct|/ˈɪn.stɪŋkt/|the way people or animals naturally react or behave, without having to think or learn about it|All his instincts told him to stay near the car and wait for help.|инстинкт|instinkt
UNIT 1|B2|interaction|/ˌɪn.tərˈæk.ʃən/|communication with, reaction to|The interaction is very important in teamwork.|взаимодействие|o'zaro ta'sir
UNIT 1|C1|motherhood|/ˈmʌð.ə.hʊd/|the state of time of being a mother|I don't feel ready for motherhood yet.|материнство|onalik
UNIT 1|B2|relation|/rɪˈleɪ.ʃən/|the connection or similarity between two things|The relation between the original book and this new film is very faint.|отношение|aloqa
UNIT 1|B2|relationship|/rɪˈleɪ.ʃən.ʃɪp/|the way in which two things are connected|Scientists have established the relationship between lung cancer and smoking.|связь|munosabat
UNIT 1|B1|relative|/ˈrel.ə.tɪv/|a member of your family|I don't have many blood relatives.|родственник|qarindosh
UNIT 1|C1|resemblance|/rɪˈzem.bləns/|the way something looks like or being like someone or something|There is always resemblance between you and your mother.|сходство|o'xshashlik
UNIT 1|C2|rivalry|/ˈraɪ.vəl.ri/|a situation in which people, businesses, etc. compete with each other for the same thing|There's such rivalry among/between my three sons.|соперничество|raqobat
UNIT 1|C2|sibling|/ˈsɪb.lɪŋ/|a brother or sister|I have four siblings: three brothers and a sister.|родной брат или сестра|aka-uka, opa-singil
UNIT 1|A2|teenager|/ˈtiːn.eɪ.dʒər/|a young person between 13 and 19 years old|The magazine is aimed at teenagers and young adults.|подросток|o'smir
UNIT 1|C1|temperament|/ˈtem.pər.ə.mənt/|the part of your character that affects your moods and the way you behave|She has a fiery temperament.|темперамент|fe'l-atvor
UNIT 1|C2|ties|/taɪz/|the friendly feelings that people have for other people, or special connections with places|Family ties are weaker if you move a long way away.|узы|bog'liqlik
UNIT 1|B2|upbringing|/ˈʌp.brɪŋ.ɪŋ/|the way in which you are treated and educated when young, especially by your parents|Is it right to say all the crimes he committed were simply the result of his upbringing?|воспитание|tarbiya
UNIT 1|C1|extended family|/ɪkˈsten.dɪd ˈfæm.əl.i/|a family unit that includes grandmothers, grandfathers, aunts, and uncles, etc. in addition to parents and children|My extended family is very large.|расширенная семья|katta oila
UNIT 1|C1|family gathering|/ˈfæm.əl.i ˈɡæð.ər.ɪŋ/|a party or a meeting when many people come together as a group of a family|There will be a family gathering of our extended family for the honour of New Year.|семейное собрание|oila yig'ilishi
UNIT 1|C2|maternal instinct|/məˈtɜː.nəl ˈɪn.stɪŋkt/|the way people or animals naturally react or behave as mothers, without having to think or learn about it|All her maternal instincts told her to stay with the children for a night.|материнский инстинкт|onalik instinkti
UNIT 1|C2|sibling rivalry|/ˈsɪb.lɪŋ ˈraɪ.vəl.ri/|competition and arguments among brothers and sisters|There is such big sibling rivalry among my children.|соперничество между братьями и сестрами|aka-uka raqobati
UNIT 1|C1|stable upbringing|/ˈsteɪ.bəl ˈʌp.brɪŋ.ɪŋ/|the firmly fixed way in which you are treated and educated when young, especially by your parents|Is it right to say all the crimes he committed were simply the result of his not stable upbringing?|стабильное воспитание|barqaror tarbiya
UNIT 1|B2|striking resemblance|/ˈstraɪ.kɪŋ rɪˈzem.bləns/|very unusual or easily noticed way something looks like or being like someone or something|She bears a striking resemblance to her mother.|невероятное сходство|ajoyib o'xshashlik
UNIT 1|B1|close|/kləʊs/|having direct family connections or shared beliefs, support, and sympathy|There weren't many people at the funeral - just close family/relatives.|близкий|yaqin
UNIT 1|B2|close-knit|/ˌkləʊsˈnɪt/|if a group of people are close-knit, they all help and support each other|Our family is very close-knit.|близкий человек|yaqin odam
UNIT 1|C1|maternal|/məˈtɜː.nəl/|related to a mother's side of the family|Her maternal grandmother is still alive.|материнский|ona tomonidan
UNIT 1|C1|paternal|/pəˈtɜː.nəl/|of or like a father|He's very paternal with the baby.|родительский|ota tomonidan
UNIT 1|C1|rewarding|/rɪˈwɔː.dɪŋ/|giving a reward, especially by making you feel satisfied that you have done something important or useful|Textbook writing can be an intellectually and financially rewarding activity.|вознаграждающий|mukofotli
UNIT 1|C1|stable|/ˈsteɪ.bəl/|firmly fixed or not likely to move or change|If the foundations of the house aren't stable, collapse is possible.|стабильный|barqaror
UNIT 1|C1|accommodate|/əˈkɒm.ə.deɪt/|to provide with a place to live or to be stored in|New students may be accommodated in halls of residence.|размещать|joylashtirmoq
UNIT 1|B2|adopt|/əˈdɒpt/|to legally take another person's child into your own family and take care of him or her as your own child|They've adopted a baby girl.|усыновлять|asramoq
UNIT 1|B2|break down|/breɪk daʊn/|if a machine or vehicle breaks down, it stops working|Our car broke down and we had to push it off the road.|выходить из строя|ishdan chiqmoq
UNIT 1|B1|develop|/dɪˈvel.əp/|to (cause something to) grow or change into a more advanced, larger, or stronger form|It became clear that he wasn't developing like all the other little boys.|развивать|rivojlanmoq
UNIT 1|B2|endure|/ɪnˈdʒʊər/|to suffer something difficult, unpleasant, or painful|We had to endure a nine-hour delay at the airport.|выдерживать|chidamoq
UNIT 1|B2|establish|/ɪˈstæb.lɪʃ/|to start a company or organization that will continue for a long time|The brewery was established in 1822.|устанавливать|tashkil qilmoq
UNIT 1|B1|have something in common|/hæv ˈsʌm.θɪŋ ɪn ˈkɒm.ən/|to share interests, experiences, or other characteristics with someone or something|We don't really have much in common.|иметь что-то общее|umumiylik
UNIT 1|C2|inherit|/ɪnˈher.ɪt/|to receive money, a house, etc. from someone after they have died|Who will inherit the house when he dies?|получать наследство|meros qilib olmoq
UNIT 1|B2|interact|/ˌɪn.tərˈækt/|to communicate with or react to|Dominique's teacher says that she interacts well with the other children.|взаимодействовать|o'zaro ta'sirlashmoq
UNIT 1|C1|nurture|/ˈnɜː.tʃər/|to take care of, feed, and protect someone or something, especially young children or plants|She wants to stay at home and nurture her children.|воспитывать, заботиться|tarbiyalamoq
UNIT 1|B1|play a role|/pleɪ ə rəʊl/|to perform an entertainment or a particular character in a play, film, etc.|Scottish famous actor played a role in this American movie.|играть роль|rol o'ynamoq
UNIT 1|C2|relate to|/rɪˈleɪt tuː/|to find or show the connection between two or more things|We need to explain why these issues are important and relate them to everyday life.|относиться к|bog'liq bo'lmoq
